semmeddb ordered
Reg,,,,LTA,,,,Reg_Exp,,,,LTA_Exp
mmCoders,,,,,mmCoders,,,,,mmCoders,,,,,mmCoders
ll,0.7160,29,,ll,0.4824,29,,ll,0.7448,29,,ll,0.4643,29,,
x2,0.7234,29,,x2,0.5517,29,,x2,0.7523,29,,x2,0.5579,29,,
dice,0.7311,29,,dice,0.4956,29,,dice,0.7233,29,,dice,0.4837,29,,
odds,0.7399,29,,odds,0.6194,29,,odds,0.7740,29,,odds,0.6083,29,,
leftFisher,0.7183,29,,leftFisher,29,29,,leftFisher,0.7278,29,,leftFisher,29,29,,

mmPhys,,,,,mmPhys,,,,,mmPhys,,,,,mmPhys
ll,0.7215,29,,ll,0.4582,29,,ll,0.7320,29,,ll,0.4424,29,,
x2,0.7271,29,,x2,0.5288,29,,x2,0.7381,29,,x2,0.5285,29,,
dice,0.7382,29,,dice,0.4617,29,,dice,0.7236,29,,dice,0.4532,29,,
odds,0.7121,29,,odds,0.6004,29,,odds,0.7333,29,,odds,0.5976,29,,
leftFisher,0.6770,29,,leftFisher,29,29,,leftFisher,0.6884,29,,leftFisher,29,29,,

sim,,,,,sim,,,,,sim,,,,,sim
ll,0.6205,376,,ll,0.3610,401,,ll,0.6270,376,,ll,0.3523,401,,
x2,0.6285,376,,x2,0.4957,401,,x2,0.6393,376,,x2,0.4899,401,,
dice,0.6336,376,,dice,0.4288,401,,dice,0.6413,376,,dice,0.4153,401,,
odds,0.6264,376,,odds,0.3318,401,,odds,0.6402,376,,odds,0.3580,401,,
leftFisher,0.6238,376,,leftFisher,0.0051,401,,leftFisher,0.6309,376,,leftFisher,0.0051,401,,

rel,,,,,rel,,,,,rel,,,,,rel
ll,0.5675,405,,ll,0.3255,430,,ll,0.5789,405,,ll,0.3219,430,,
x2,0.5710,405,,x2,0.4125,430,,x2,0.5852,405,,x2,0.4052,430,,
dice,0.5632,405,,dice,0.3464,430,,dice,0.5731,405,,dice,0.3319,430,,
odds,0.5575,405,,odds,0.2504,430,,odds,0.5747,405,,odds,0.2633,430,,
leftFisher,0.5782,405,,leftFisher,0.0253,430,,leftFisher,0.5918,405,,leftFisher,0.0253,430,,


semmeddb No Order
Reg,,,,LTA,,,,Reg_Exp,,,,LTA_Exp
mmCoders,,,,,mmCoders,,,,,mmCoders,,,,,mmCoders
ll,0.7160,29,,ll,0.4824,29,,ll,0.7448,29,,ll,0.4643,29,,
x2,0.7234,29,,x2,0.5517,29,,x2,0.7513,29,,x2,0.5579,29,,
dice,0.7311,29,,dice,0.4956,29,,dice,0.7233,29,,dice,0.4837,29,,
odds,0.7399,29,,odds,0.6194,29,,odds,0.7740,29,,odds,0.6083,29,,
leftFisher,0.7183,29,,leftFisher,29,29,,leftFisher,0.7278,29,,leftFisher,29,29,,

mmPhys,,,,,mmPhys,,,,,mmPhys,,,,,mmPhys
ll,0.7215,29,,ll,0.4582,29,,ll,0.7320,29,,ll,0.4424,29,,
x2,0.7271,29,,x2,0.5288,29,,x2,0.7404,29,,x2,0.5285,29,,
dice,0.7382,29,,dice,0.4617,29,,dice,0.7236,29,,dice,0.4532,29,,
odds,0.7121,29,,odds,0.6004,29,,odds,0.7333,29,,odds,0.5976,29,,
leftFisher,0.6770,29,,leftFisher,29,29,,leftFisher,0.6884,29,,leftFisher,29,29,,

sim,,,,,sim,,,,,sim,,,,,sim
ll,0.6204,376,,ll,0.3610,401,,ll,0.6268,376,,ll,0.3523,401,,
x2,0.6286,376,,x2,0.4957,401,,x2,0.6395,376,,x2,0.4899,401,,
dice,0.6334,376,,dice,0.4288,401,,dice,0.6408,376,,dice,0.4153,401,,
odds,0.6268,376,,odds,0.3318,401,,odds,0.6409,376,,odds,0.3580,401,,
leftFisher,0.6299,376,,leftFisher,0.0051,401,,leftFisher,0.6227,376,,leftFisher,0.0051,401,,

rel,,,,,rel,,,,,rel,,,,,rel
ll,0.5676,405,,ll,0.3255,430,,ll,0.5794,405,,ll,0.3219,430,,
x2,0.5706,405,,x2,0.4125,430,,x2,0.5852,405,,x2,0.4052,430,,
dice,0.5631,405,,dice,0.3464,430,,dice,0.5806,405,,dice,0.3319,430,,
odds,0.5575,405,,odds,0.2504,430,,odds,0.5750,405,,odds,0.2633,430,,
leftFisher,0.5807,405,,leftFisher,0.0253,430,,leftFisher,0.5835,405,,leftFisher,0.0253,430,,



2000_2015_window1 ordered
Reg,,,,LTA,,,,Reg_Exp,,,,LTA_Exp
mmCoders,,,,,mmCoders,,,,,mmCoders,,,,,mmCoders
ll,0.7851,29,,ll,0.4780,29,,ll,0.7900,29,,ll,0.4806,29,,
x2,0.7518,29,,x2,0.4377,29,,x2,0.7586,29,,x2,0.4829,29,,
dice,0.7291,29,,dice,0.3858,29,,dice,0.7849,29,,dice,0.4000,29,,
odds,0.7169,29,,odds,0.1140,29,,odds,0.7567,29,,odds,0.0868,29,,
leftFisher,0.8213,29,,leftFisher,29,29,,leftFisher,0.8213,29,,leftFisher,29,29,,

mmPhys,,,,,mmPhys,,,,,mmPhys,,,,,mmPhys
ll,0.8345,29,,ll,0.4607,29,,ll,0.8299,29,,ll,0.4522,29,,
x2,0.8119,29,,x2,0.4262,29,,x2,0.8198,29,,x2,0.4632,29,,
dice,0.7989,29,,dice,0.4117,29,,dice,0.8065,29,,dice,0.4187,29,,
odds,0.7451,29,,odds,0.1006,29,,odds,0.7784,29,,odds,0.0916,29,,
leftFisher,0.7992,29,,leftFisher,29,29,,leftFisher,0.7992,29,,leftFisher,29,29,,

sim,,,,,sim,,,,,sim,,,,,sim
ll,0.6401,390,,ll,0.1948,401,,ll,0.6643,390,,ll,0.1918,401,,
x2,0.6476,390,,x2,0.3526,401,,x2,0.6736,390,,x2,0.3341,401,,
dice,0.6450,390,,dice,0.3030,401,,dice,0.6666,390,,dice,0.2772,401,,
odds,0.6469,390,,odds,0.3332,401,,odds,0.6733,390,,odds,0.3177,401,,
leftFisher,0.6401,390,,leftFisher,0.0512,401,,leftFisher,0.6561,390,,leftFisher,0.0512,401,,

rel,,,,,rel,,,,,rel,,,,,rel
ll,0.5541,414,,ll,0.2110,430,,ll,0.5642,414,,ll,0.2096,430,,
x2,0.5499,414,,x2,0.2758,430,,x2,0.5597,414,,x2,0.2653,430,,
dice,0.4448,414,,dice,0.2352,430,,dice,0.5555,414,,dice,0.2272,430,,
odds,0.5386,414,,odds,0.1925,430,,odds,0.5485,414,,odds,0.1814,430,,
leftFisher,0.5650,414,,leftFisher,0.0280,430,,leftFisher,0.5782,414,,leftFisher,0.0280,430,,


2000_2015_window1 No Order
Reg,,,,LTA,,,,Reg_Exp,,,,LTA_Exp
mmCoders,,,,,mmCoders,,,,,mmCoders,,,,,mmCoders
ll,0.7738,29,,ll,0.5315,29,,ll,0.7785,29,,ll,0.5137,29,,
x2,0.7497,29,,x2,0.4858,29,,x2,0.7559,29,,x2,0.4966,29,,
dice,0.7813,29,,dice,0.3876,29,,dice,0.7811,29,,dice,0.4134,29,,
odds,0.7237,29,,odds,0.1770,29,,odds,0.7253,29,,odds,0.1692,29,,
leftFisher,0.8231,29,,leftFisher,29,29,,leftFisher,0.8067,29,,leftFisher,29,29,,

mmPhys,,,,,mmPhys,,,,,mmPhys,,,,,mmPhys
ll,0.8091,29,,ll,0.5170,29,,ll,0.8132,29,,ll,0.4937,29,,
x2,0.7974,29,,x2,0.4935,29,,x2,0.8015,29,,x2,0.5035,29,,
dice,0.7982,29,,dice,0.4109,29,,dice,0.7977,29,,dice,0.4322,29,,
odds,0.7446,29,,odds,0.1559,29,,odds,0.7486,29,,odds,0.1597,29,,
leftFisher,0.8032,29,,leftFisher,29,29,,leftFisher,0.7926,29,,leftFisher,29,29,,

sim,,,,,sim,,,,,sim,,,,,sim
ll,0.6615,390,,ll,0.2269,401,,ll,0.6719,390,,ll,0.2221,401,,
x2,0.6717,390,,x2,0.3952,401,,x2,0.6861,390,,x2,0.3773,401,,
dice,0.5678,390,,dice,0.3382,401,,dice,0.5504,390,,dice,0.3120,401,,
odds,0.6722,390,,odds,0.3468,401,,odds,0.6885,390,,odds,0.3565,401,,
leftFisher,0.6561,390,,leftFisher,0.0806,401,,leftFisher,0.6649,390,,leftFisher,0.0687,401,,

rel,,,,,rel,,,,,rel,,,,,rel
ll,0.5734,414,,ll,0.2323,430,,ll,0.5676,414,,ll,0.2310,430,,
x2,0.5672,414,,x2,0.2982,430,,x2,0.5625,414,,x2,0.2881,430,,
dice,0.4742,414,,dice,0.2550,430,,dice,0.5594,414,,dice,0.2474,430,,
odds,0.5520,414,,odds,0.2147,430,,odds,0.5483,414,,odds,0.2118,430,,
leftFisher,0.5870,414,,leftFisher,0.0430,430,,leftFisher,0.5836,414,,leftFisher,0.0430,430,,



1975_2015_window1 ordered
Reg,,,,LTA,,,,Reg_Exp,,,,LTA_Exp
mmCoders,,,,,mmCoders,,,,,mmCoders,,,,,mmCoders
ll,0.7851,29,,ll,0.5098,29,,ll,0.7911,29,,ll,0.5057,29,,
x2,0.7476,29,,x2,0.5088,29,,x2,0.7630,29,,x2,0.5300,29,,
dice,0.7372,29,,dice,0.3801,29,,dice,0.8010,29,,dice,0.4137,29,,
odds,0.7182,29,,odds,0.0695,29,,odds,0.7565,29,,odds,0.0434,29,,
leftFisher,0.8213,29,,leftFisher,29,29,,leftFisher,0.7728,29,,leftFisher,29,29,,

mmPhys,,,,,mmPhys,,,,,mmPhys,,,,,mmPhys
ll,0.8337,29,,ll,0.5038,29,,ll,0.8320,29,,ll,0.4910,29,,
x2,0.8053,29,,x2,0.5298,29,,x2,0.8213,29,,x2,0.5445,29,,
dice,0.8091,29,,dice,0.4174,29,,dice,0.8267,29,,dice,0.4439,29,,
odds,0.7428,29,,odds,0.0686,29,,odds,0.7745,29,,odds,0.0563,29,,
leftFisher,0.7965,29,,leftFisher,29,29,,leftFisher,0.7965,29,,leftFisher,29,29,,

sim,,,,,sim,,,,,sim,,,,,sim
ll,0.6628,392,,ll,0.2303,401,,ll,0.6782,392,,ll,0.2210,401,,
x2,0.6693,392,,x2,0.4079,401,,x2,0.6890,392,,x2,0.3849,401,,
dice,0.6692,392,,dice,0.3548,401,,dice,0.5660,392,,dice,0.3229,401,,
odds,0.6705,392,,odds,0.3181,401,,odds,0.6876,392,,odds,0.2979,401,,
leftFisher,0.6588,392,,leftFisher,0.0899,401,,leftFisher,0.6659,392,,leftFisher,0.0769,401,,

rel,,,,,rel,,,,,rel,,,,,rel
ll,0.5778,418,,ll,0.2228,430,,ll,0.5824,418,,ll,0.2178,430,,
x2,0.5720,418,,x2,0.2954,430,,x2,0.5771,418,,x2,0.2797,430,,
