2014_2015_window8 ordered
LTA,,,,LTA_Exp
mmCoders,,,,mmCoders,,,,mmCoders,,,,mmCoders
ll,0.5666,29,,ll,0.5405,29,,
x2,0.6194,29,,x2,0.6204,29,,
dice,0.4599,29,,dice,0.4143,29,,
odds,0.5609,29,,odds,0.5234,29,,
leftFisher,0.2508,29,,leftFisher,0.2508,29,,

mmPhys,,,,mmPhys,,,,mmPhys,,,,mmPhys
ll,0.5347,29,,ll,0.5209,29,,
x2,0.6033,29,,x2,0.5881,29,,
dice,0.4036,29,,dice,0.3635,29,,
odds,0.5663,29,,odds,0.4989,29,,
leftFisher,0.2550,29,,leftFisher,0.2550,29,,

sim,,,,sim,,,,sim,,,,sim
ll,0.4456,401,,ll,0.4358,401,,
x2,0.5383,401,,x2,0.5345,401,,
dice,0.4624,401,,dice,0.4625,401,,
odds,0.5141,401,,odds,0.5056,401,,
leftFisher,0.3027,401,,leftFisher,0.3095,401,,

rel,,,,rel,,,,rel,,,,rel
ll,0.4027,430,,ll,0.3955,430,,
x2,0.4233,430,,x2,0.4258,430,,
dice,0.3655,430,,dice,0.3651,430,,
odds,0.3615,430,,odds,0.3417,430,,
leftFisher,0.2567,430,,leftFisher,0.2355,430,,


2014_2015_window8 No Order
LTA,,,,LTA_Exp
mmCoders,,,,mmCoders,,,,mmCoders,,,,mmCoders
ll,0.4349,29,,ll,0.3824,29,,
x2,0.3514,29,,x2,0.2380,29,,
dice,0.2995,29,,dice,0.2767,29,,
odds,0.0506,29,,odds,0.0222,29,,
leftFisher,29,29,,leftFisher,29,29,,

mmPhys,,,,mmPhys,,,,mmPhys,,,,mmPhys
ll,0.4174,29,,ll,0.3661,29,,
x2,0.3604,29,,x2,0.2595,29,,
dice,0.3374,29,,dice,0.3526,29,,
odds,0.0701,29,,odds,0.0083,29,,
leftFisher,29,29,,leftFisher,29,29,,

sim,,,,sim,,,,sim,,,,sim
ll,0.1440,401,,ll,0.1469,401,,
x2,0.2553,401,,x2,0.2706,401,,
dice,0.2317,401,,dice,0.2384,401,,
odds,0.2904,401,,odds,0.2442,401,,
leftFisher,0.0129,401,,leftFisher,0.0129,401,,

rel,,,,rel,,,,rel,,,,rel
ll,0.2023,430,,ll,0.2092,430,,
x2,0.2426,430,,x2,0.2552,430,,
dice,0.2056,430,,dice,0.2183,430,,
odds,0.1399,430,,odds,0.1061,430,,
leftFisher,0.0516,430,,leftFisher,0.0516,430,,



2012_2015_window8 ordered
LTA,,,,LTA_Exp
mmCoders,,,,mmCoders,,,,mmCoders,,,,mmCoders
ll,0.5644,29,,ll,0.5430,29,,
x2,0.6921,29,,x2,0.6923,29,,
dice,0.4615,29,,dice,0.4672,29,,
odds,0.5859,29,,odds,0.4848,29,,
leftFisher,0.2730,29,,leftFisher,0.2730,29,,

mmPhys,,,,mmPhys,,,,mmPhys,,,,mmPhys
ll,0.5476,29,,ll,0.5323,29,,
x2,0.6738,29,,x2,0.5734,29,,
dice,0.4188,29,,dice,0.3843,29,,
odds,0.6172,29,,odds,0.5474,29,,
leftFisher,0.2644,29,,leftFisher,0.2644,29,,

sim,,,,sim,,,,sim,,,,sim
ll,0.4538,401,,ll,0.4296,401,,
x2,0.6017,401,,x2,0.5692,401,,
dice,0.4964,401,,
