1975_2015_window1_threshold1 ordered
Reg,,,,LTA,,,,Reg_Exp,,,,LTA_Exp
mmCoders,,,,mmCoders,,,,mmCoders,,,,mmCoders
ll,0.7896,29,,ll,0.4984,29,,ll,0.7957,29,,ll,0.5085,29,,
x2,0.7569,29,,x2,0.4811,29,,x2,0.7637,29,,x2,0.5054,29,,
dice,0.7926,29,,dice,0.3623,29,,dice,0.8014,29,,dice,0.3798,29,,
odds,0.7273,29,,odds,0.1744,29,,odds,0.7637,29,,odds,0.1801,29,,
leftFisher,0.8178,29,,leftFisher,29,29,,leftFisher,0.7627,29,,leftFisher,29,29,,

mmPhys,,,,mmPhys,,,,mmPhys,,,,mmPhys
ll,0.8310,29,,ll,0.4832,29,,ll,0.8292,29,,ll,0.4867,29,,
x2,0.8039,29,,x2,0.4855,29,,x2,0.8159,29,,x2,0.5000,29,,
dice,0.8045,29,,dice,0.3997,29,,dice,0.8149,29,,dice,0.4014,29,,
odds,0.7385,29,,odds,0.1632,29,,odds,0.7676,29,,odds,0.1619,29,,
leftFisher,0.7915,29,,leftFisher,29,29,,leftFisher,0.7915,29,,leftFisher,29,29,,

sim,,,,sim,,,,sim,,,,sim
ll,0.6441,389,,ll,0.2246,401,,ll,0.6668,389,,ll,0.2150,401,,
x2,0.6498,389,,x2,0.3864,401,,x2,0.6753,389,,x2,0.3691,401,,
dice,0.6014,389,,dice,0.3384,401,,dice,0.5914,389,,dice,0.3159,401,,
odds,0.6501,389,,odds,0.3905,401,,odds,0.6737,389,,odds,0.3779,401,,
leftFisher,0.6403,389,,leftFisher,0.0379,401,,leftFisher,0.6549,389,,leftFisher,0.0107,401,,

rel,,,,rel,,,,rel,,,,rel
ll,0.5512,412,,ll,0.2167,430,,ll,0.5605,412,,ll,0.2144,430,,
x2,0.5425,412,,x2,0.2825,430,,x2,0.5521,412,,x2,0.2746,430,,
dice,0.5400,412,,dice,0.2471,430,,dice,0.5488,412,,dice,0.2386,430,,
odds,0.5333,412,,odds,0.2319,430,,odds,0.5394,412,,odds,0.2272,430,,
leftFisher,0.5642,412,,leftFisher,0.0261,430,,leftFisher,0.5717,412,,leftFisher,0.0167,430,,


1975_2015_window1_threshold1 No Order
Reg,,,,LTA,,,,Reg_Exp,,,,LTA_Exp
mmCoders,,,,mmCoders,,,,mmCoders,,,,mmCoders
ll,0.7796,29,,ll,0.5597,29,,ll,0.7901,29,,ll,0.5633,29,,
x2,0.7516,29,,x2,0.4669,29,,x2,0.7571,29,,x2,0.4545,29,,
dice,0.7781,29,,dice,0.3713,29,,dice,0.7809,29,,dice,0.3602,29,,
odds,0.7281,29,,odds,0.2837,29,,odds,0.7300,29,,odds,0.2798,29,,
leftFisher,0.7768,29,,leftFisher,29,29,,leftFisher,0.7133,29,,leftFisher,29,29,,

mmPhys,,,,mmPhys,,,,mmPhys,,,,mmPhys
ll,0.8106,29,,ll,0.5458,29,,ll,0.8172,29,,ll,0.5440,29,,
x2,0.7996,29,,x2,0.4822,29,,x2,0.8052,29,,x2,0.4740,29,,
dice,0.8054,29,,dice,0.4067,29,,dice,0.7900,29,,dice,0.3934,29,,
odds,0.7334,29,,odds,0.2640,29,,odds,0.7411,29,,odds,0.2643,29,,
leftFisher,0.7176,29,,leftFisher,29,29,,leftFisher,0.7323,29,,
